Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10NF-0603-50V-10%","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",120.998390,-85.977162,180.000000,top
"C2","10NF-0603-50V-10%","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.702997,-88.815740,-135.000000,top
"C3","10NF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.003190,-87.000768,0.000000,top
"C4","0.1UF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",126.724900,-81.891401,180.000000,top
"C5","10NF-0603-50V-10%","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.182400,-61.643600,180.000000,top
"C6","10NF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.184400,-62.664000,0.000000,top
"C7","10NF-0603-50V-10%","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.889332,-64.546920,-135.000000,top
"C8","0.1UF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.898016,-57.615537,180.000000,top
"C9","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.814000,-60.190000,180.000000,top
"C10","220uF","C_Elec_8x10.2",138.335605,-61.085748,180.000000,top
"C11","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.814000,-61.998000,180.000000,top
"C12","10uF","C_0603_1608Metric",145.546000,-60.456001,-90.000000,top
"C13","10uF","C_0603_1608Metric",146.614073,-63.148198,0.000000,top
"C14",".1uF","C_0603_1608Metric",147.186000,-60.456000,-90.000000,top
"C15",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.772000,-69.528000,180.000000,top
"C16",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",140.970000,-66.046001,0.000000,top
"C17","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.837681,-67.110309,135.000000,top
"C18","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.402000,-79.712000,0.000000,top
"C19","DNP","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",162.181754,-81.621328,135.000000,top
"C20","DNP","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.112541,-84.436541,135.000000,top
"D1 < io8","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.430395,-85.053911,45.000000,top
"D2 < io38","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.472836,-83.056618,45.000000,top
"D3 < 3v3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.688873,-81.098995,45.000000,top
"J3","I2C_STANDARDQWIIC","1X04_1MM_RA",144.332773,-90.985775,0.000000,top
"J5","I2C_STANDARDQWIIC","1X04_1MM_RA",136.430520,-91.075680,0.000000,top
"J6","~","PTS526SM08SMTR2LFS",152.874197,-91.152726,90.000000,top
"J7","~","PTS526SM08SMTR2LFS",174.934000,-91.138000,90.000000,top
"J11","USB4520-03-0-A_REVA","GCT_USB4520-03-0-A_REVA",164.370000,-95.150000,0.000000,top
"J12","BM05B-SRSS-TB_LF__SN_","JST_BM05B-SRSS-TB_LF__SN_",120.035000,-77.825000,180.000000,top
"J13","BM05B-SRSS-TB_LF__SN_","JST_BM05B-SRSS-TB_LF__SN_",120.037570,-71.826563,180.000000,top
"L1","SRP3212A-4R7M","L_Changjiang_FNR5020S",148.325358,-71.657369,-135.000000,top
"R1","R_Shunt_US","RESC1608X55N",121.952301,-88.288832,180.000000,top
"R2","R_Shunt_US","RESC1608X55N",121.966183,-82.673249,180.000000,top
"R3","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.923006,-75.214927,-90.000000,top
"R4","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",137.516133,-75.209531,-90.000000,top
"R5","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.909969,-69.464389,90.000000,top
"R6","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",139.819775,-75.224444,-90.000000,top
"R7","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.052632,-69.460817,90.000000,top
"R8","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.252962,-75.208475,-90.000000,top
"R9","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",130.769483,-69.467106,90.000000,top
"R10","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.472512,-69.461331,90.000000,top
"R11","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.669287,-75.214236,-90.000000,top
"R12","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",134.192940,-69.461909,90.000000,top
"R13","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.395397,-75.206428,-90.000000,top
"R14","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.331749,-69.463466,90.000000,top
"R15","R_Shunt_US","RESC1608X55N",122.042299,-63.932415,180.000000,top
"R16","R_Shunt_US","RESC1608X55N",122.057923,-58.313966,180.000000,top
"R17","54.9k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.840000,-64.472000,0.000000,top
"R18","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",139.274867,-67.883996,90.000000,top
"R19","54.9k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.485388,-67.860515,90.000000,top
"R20","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",161.779057,-85.052672,-45.000000,top
"R21","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",162.603569,-84.194141,-45.000000,top
"R22","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.335158,-86.282843,180.000000,top
"R23","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.932661,-87.723495,0.000000,top
"R24","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",170.044956,-87.745727,180.000000,top
"R25","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",173.183968,-82.714817,180.000000,top
"R26","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",175.632364,-81.603353,0.000000,top
"R27","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",175.633036,-80.395264,0.000000,top
"R28","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.811750,-89.929808,180.000000,top
"R29","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.837650,-88.987791,0.000000,top
"R30","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",156.723042,-60.951969,-90.000000,top
