Comment,Designator,Footprint,LCSC Part Number
1k,"R14,R7,R5,R9,R10,R11,R3,R13,R6,R12,R8,R4,R33,R22,R32",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,"CR0402FF1001GC100195
62.5mW Thick Film Resistors ±1% ±200ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS"
220uF,C10,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,"UWT1H221MNL1GSC125977
220uF 50V 220mA@120Hz ±20% SMD,D10xL10mm Aluminum Electrolytic Capacitors - SMD ROHS"
BM05B-SRSS-TB_LF__SN_,"J13,J12",JST_BM05B-SRSS-TB_LF__SN_,"SM05B-SRSS-TB(LF)(SN)C136657
SMD,P=1mm Wire To Board / Wire To Wire Connector ROHS"
.1uF,"C14,C16,C15",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,"CT41G-0402-2X1-16V-0.1μF-K(N)C141382
16V 100nF 2X1 ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
I2C_STANDARDQWIIC,"J5,J3",1X04_1MM_RA,"SM04B-SRSS-TB(LF)(SN)C160404
1x4P 1 SR/SZ 1mm 4 Copper Alloy - Wire To Board / Wire To Wire Connector ROHS"
0Ohm,"R21,R20",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,"WR04X10R0FTLC163812
62.5mW Thick Film Resistors -200ppm/℃~+400ppm/℃ ±1% 10Ω 0402 Chip Resistor - Surface Mount ROHS"
SRP3212A-4R7M,L1,INDC3225X120N,"FNR5020S4R7MTC167930
2.2A 4.7uH ±20% SMD,5x5mm Power Inductors ROHS"
54.9k,"R17,R19",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,"WR04X5492FTLC170335
62.5mW Thick Film Resistors ±100ppm/℃ ±1% 54.9kΩ 0402 Chip Resistor - Surface Mount ROHS"
INA2181,"U4,U3",INA2181_VSSOP_10,"INA2181A1IDGSRC1848164
MSOP-10 Current-Sensing Amplifiers ROHS"
10k,R18,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,"0105WHF1002TDEC270305
31.25mW Thick Film Resistors ±1% ±200ppm/℃ 10kΩ 01005 Chip Resistor - Surface Mount ROHS"
JSTSH,"J7,J6",PTS526SM08SMTR2LFS,"PTS526 SM08 SMTR2 LFSC2800385
0.05A SPST - NO 160gf 12V SMD Tactile Switches ROHS"
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,"ESP32-S3-WROOM-1-N8C2913198
SMD,18x25.5mm WiFi Modules ROHS"
USB4520-03-0-A_REVA,J11,GCT_USB4520-03-0-A_REVA,"TYPE-C16P3MDDGP073C2965608
5A 1 Surface Mount 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS"
0.1UF,"C8,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,"0402B104J250NTC301928
25V 100nF X7R ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
10NF-0603-50V-10%,"C2,C5,C1,C7,C6,C3",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,"C1005X7R103METSC312125
16V 10nF X7R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
10uF,"C13,C17,C12",CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,"TMK107BBJ106MA-TC386081
25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
5k1,"R25,R24,R23,R27,R26,R29,R31,R30,R28",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,"CR-02FL6---5K1C409700
62.5mW Thick Film Resistors ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS"
AZ1117C,U6,SOT-89-3,"AZ1117CR-3.3TRG1C460428
70dB@(120Hz) 800mA Fixed 3.3V~3.3V Positive 15V SOT-89 Linear Voltage Regulators (LDO) ROHS"
22uF,"C18,C11,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,"CL10A226MQ8NRNCC59461
6.3V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
R_Shunt_US,"R1,R2,R15,R16",RESC1608X55N,"PA0805FRE470R003LC728266
500mW ±50ppm/℃ ±1% 3mΩ 0805 Chip Resistor - Surface Mount ROHS"
LED,"D3,D2,D1",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"NCD0805R1C84256
Red 0805 Light Emitting Diodes (LED) ROHS"
TPS562208,U7,SOT-23-6_Handsoldering,"TPS562208DDCRC91301
Step-down type Adjustable 0.768V~7V 2A 4.5V~17V SOT-23-6 DC-DC Converters ROHS"
